policy_id,uuid,discount
1,3800ad88-d941-11ed-a9fe-eedd30f30a66,True
2,3800ada6-d941-11ed-a9fe-eedd30f30a66,True
3,3800adba-d941-11ed-a9fe-eedd30f30a66,True
4,3800adc4-d941-11ed-a9fe-eedd30f30a66,False
5,3800add8-d941-11ed-a9fe-eedd30f30a66,True
6,3800ade2-d941-11ed-a9fe-eedd30f30a66,False
7,3800adf6-d941-11ed-a9fe-eedd30f30a66,False
8,3800ae00-d941-11ed-a9fe-eedd30f30a66,True
9,3800ae14-d941-11ed-a9fe-eedd30f30a66,True
10,3800ae28-d941-11ed-a9fe-eedd30f30a66,True
11,3800ae32-d941-11ed-a9fe-eedd30f30a66,True
12,3800ae46-d941-11ed-a9fe-eedd30f30a66,True
13,3800ae50-d941-11ed-a9fe-eedd30f30a66,True
14,3800ae64-d941-11ed-a9fe-eedd30f30a66,False
15,3800ae6e-d941-11ed-a9fe-eedd30f30a66,False
16,3800ae82-d941-11ed-a9fe-eedd30f30a66,True
17,3800ae8c-d941-11ed-a9fe-eedd30f30a66,False
18,3800aea0-d941-11ed-a9fe-eedd30f30a66,True
19,3800aeaa-d941-11ed-a9fe-eedd30f30a66,True
20,3800aebe-d941-11ed-a9fe-eedd30f30a66,True
21,3800aec8-d941-11ed-a9fe-eedd30f30a66,False
22,3800aed2-d941-11ed-a9fe-eedd30f30a66,True
23,3800aee6-d941-11ed-a9fe-eedd30f30a66,True
24,3800aef0-d941-11ed-a9fe-eedd30f30a66,True
25,3800af04-d941-11ed-a9fe-eedd30f30a66,True
26,3800af18-d941-11ed-a9fe-eedd30f30a66,True
27,3800af22-d941-11ed-a9fe-eedd30f30a66,False
28,3800af2c-d941-11ed-a9fe-eedd30f30a66,True
29,3800af40-d941-11ed-a9fe-eedd30f30a66,True
30,3800af4a-d941-11ed-a9fe-eedd30f30a66,False
31,3800af5e-d941-11ed-a9fe-eedd30f30a66,False
32,3800af72-d941-11ed-a9fe-eedd30f30a66,False
33,3800af7c-d941-11ed-a9fe-eedd30f30a66,False
34,3800af90-d941-11ed-a9fe-eedd30f30a66,False
35,3800af9a-d941-11ed-a9fe-eedd30f30a66,True
36,3800afae-d941-11ed-a9fe-eedd30f30a66,False
37,3800afb8-d941-11ed-a9fe-eedd30f30a66,True
38,3800afcc-d941-11ed-a9fe-eedd30f30a66,False
39,3800afd6-d941-11ed-a9fe-eedd30f30a66,True
40,3800afea-d941-11ed-a9fe-eedd30f30a66,False
41,3800aff4-d941-11ed-a9fe-eedd30f30a66,True
42,3800b008-d941-11ed-a9fe-eedd30f30a66,True
43,3800b012-d941-11ed-a9fe-eedd30f30a66,True
44,3800b026-d941-11ed-a9fe-eedd30f30a66,False
45,3800b030-d941-11ed-a9fe-eedd30f30a66,False
46,3800b044-d941-11ed-a9fe-eedd30f30a66,False
47,3800b04e-d941-11ed-a9fe-eedd30f30a66,False
48,3800b062-d941-11ed-a9fe-eedd30f30a66,False
49,3800b06c-d941-11ed-a9fe-eedd30f30a66,True
50,3800b080-d941-11ed-a9fe-eedd30f30a66,False
51,3800b08a-d941-11ed-a9fe-eedd30f30a66,True
52,3800b09e-d941-11ed-a9fe-eedd30f30a66,True
53,3800b0a8-d941-11ed-a9fe-eedd30f30a66,True
54,3800b0bc-d941-11ed-a9fe-eedd30f30a66,False
55,3800b0c6-d941-11ed-a9fe-eedd30f30a66,True
56,3800b0da-d941-11ed-a9fe-eedd30f30a66,True
57,3800b0e4-d941-11ed-a9fe-eedd30f30a66,False
58,3800b0f8-d941-11ed-a9fe-eedd30f30a66,False
59,3800b102-d941-11ed-a9fe-eedd30f30a66,True
60,3800b116-d941-11ed-a9fe-eedd30f30a66,True
61,3800b120-d941-11ed-a9fe-eedd30f30a66,False
62,3800b134-d941-11ed-a9fe-eedd30f30a66,False
63,3800b13e-d941-11ed-a9fe-eedd30f30a66,False
64,3800b152-d941-11ed-a9fe-eedd30f30a66,True
65,3800b15c-d941-11ed-a9fe-eedd30f30a66,False
66,3800b170-d941-11ed-a9fe-eedd30f30a66,True
67,3800b17a-d941-11ed-a9fe-eedd30f30a66,False
68,3800b184-d941-11ed-a9fe-eedd30f30a66,False
69,3800b198-d941-11ed-a9fe-eedd30f30a66,False
70,3800b1a2-d941-11ed-a9fe-eedd30f30a66,False
71,3800b1b6-d941-11ed-a9fe-eedd30f30a66,False
72,3800b1c0-d941-11ed-a9fe-eedd30f30a66,False
73,3800b1d4-d941-11ed-a9fe-eedd30f30a66,False
74,3800b1de-d941-11ed-a9fe-eedd30f30a66,False
75,3800b1f2-d941-11ed-a9fe-eedd30f30a66,False
76,3800b1fc-d941-11ed-a9fe-eedd30f30a66,False
77,3800b210-d941-11ed-a9fe-eedd30f30a66,True
78,3800b224-d941-11ed-a9fe-eedd30f30a66,True
79,3800b22e-d941-11ed-a9fe-eedd30f30a66,False
80,3800b238-d941-11ed-a9fe-eedd30f30a66,False
81,3800b24c-d941-11ed-a9fe-eedd30f30a66,False
82,3800b256-d941-11ed-a9fe-eedd30f30a66,True
83,3800b26a-d941-11ed-a9fe-eedd30f30a66,False
84,3800b274-d941-11ed-a9fe-eedd30f30a66,False
85,3800b288-d941-11ed-a9fe-eedd30f30a66,True
86,3800b292-d941-11ed-a9fe-eedd30f30a66,False
87,3800b2a6-d941-11ed-a9fe-eedd30f30a66,False
88,3800b2b0-d941-11ed-a9fe-eedd30f30a66,True
89,3800b2ba-d941-11ed-a9fe-eedd30f30a66,False
90,3800b2ce-d941-11ed-a9fe-eedd30f30a66,True
91,3800b2d8-d941-11ed-a9fe-eedd30f30a66,True
92,3800b2ec-d941-11ed-a9fe-eedd30f30a66,True
93,3800b300-d941-11ed-a9fe-eedd30f30a66,False
94,3800b30a-d941-11ed-a9fe-eedd30f30a66,True
95,3800b314-d941-11ed-a9fe-eedd30f30a66,False
96,3800b328-d941-11ed-a9fe-eedd30f30a66,False
97,3800b33c-d941-11ed-a9fe-eedd30f30a66,True
98,3800b346-d941-11ed-a9fe-eedd30f30a66,False
99,3800b350-d941-11ed-a9fe-eedd30f30a66,False
100,3800b364-d941-11ed-a9fe-eedd30f30a66,True
